[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /stock                    --> stonk-watcher/internal/handlers.StockHandler (4 handlers)
[GIN-debug] DELETE /stock                    --> stonk-watcher/internal/handlers.TruncateStockInfo (4 handlers)
[GIN-debug] GET    /stock/price              --> stonk-watcher/internal/handlers.StockPriceHandler (4 handlers)
[GIN-debug] GET    /watchlist                --> stonk-watcher/internal/handlers.GetWatchlistHandler (4 handlers)
[GIN-debug] POST   /watchlist                --> stonk-watcher/internal/handlers.UpdateWatchlistHandler (4 handlers)
[GIN-debug] GET    /                         --> stonk-watcher/internal/handlers.StaticHandler.func1 (4 handlers)
[GIN-debug] GET    /static/*file             --> stonk-watcher/internal/handlers.StaticHandler.func1 (4 handlers)
[GIN-debug] Environment variable PORT is undefined. Using port :8080 by default
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2021/03/15 - 11:29:24 | 200 |  580.529655ms |             ::1 | GET      "/stock/price?ticker=AAPL"
[GIN] 2021/03/15 - 11:29:24 | 200 |  585.163374ms |             ::1 | GET      "/stock/price?ticker=MSFT"
[GIN] 2021/03/15 - 11:29:25 | 200 |  519.946998ms |             ::1 | GET      "/stock/price?ticker=GOOG"
[GIN] 2021/03/15 - 11:29:25 | 200 |  542.376721ms |             ::1 | GET      "/stock/price?ticker=NFLX"
[GIN] 2021/03/15 - 11:29:25 | 200 |  1.248574732s |             ::1 | GET      "/stock/price?ticker=TWTR"
[GIN] 2021/03/15 - 11:29:25 | 200 |  1.280680462s |             ::1 | GET      "/stock/price?ticker=ADBE"
[GIN] 2021/03/15 - 11:29:25 | 200 |  273.414442ms |             ::1 | GET      "/stock/price?ticker=BABA"
[GIN] 2021/03/15 - 11:29:25 | 200 |  1.481132697s |             ::1 | GET      "/stock/price?ticker=FB"
[GIN] 2021/03/15 - 11:29:25 | 200 |   1.55284596s |             ::1 | GET      "/stock/price?ticker=AMZN"
[GIN] 2021/03/15 - 11:29:25 | 200 |  313.846626ms |             ::1 | GET      "/stock/price?ticker=TSLA"
[GIN] 2021/03/15 - 11:29:25 | 200 |   305.25072ms |             ::1 | GET      "/stock/price?ticker=SNE"
[GIN] 2021/03/15 - 11:29:25 | 200 |  280.391157ms |             ::1 | GET      "/stock/price?ticker=VMW"
[GIN] 2021/03/15 - 11:29:26 | 200 |  296.393811ms |             ::1 | GET      "/stock/price?ticker=FANG"
[GIN] 2021/03/15 - 11:29:26 | 200 |  364.254708ms |             ::1 | GET      "/stock/price?ticker=SLB"
[GIN] 2021/03/15 - 11:29:26 | 200 |  285.626416ms |             ::1 | GET      "/stock/price?ticker=FTI"
[GIN] 2021/03/15 - 11:29:26 | 200 |  258.476552ms |             ::1 | GET      "/stock/price?ticker=FE"
[GIN] 2021/03/15 - 11:29:26 | 200 |  1.216789361s |             ::1 | GET      "/stock/price?ticker=NVDA"
[GIN] 2021/03/15 - 11:29:26 | 200 |  492.316917ms |             ::1 | GET      "/stock/price?ticker=ET"
[GIN] 2021/03/15 - 11:29:26 | 200 |  281.923487ms |             ::1 | GET      "/stock/price?ticker=GME"
[GIN] 2021/03/15 - 11:29:26 | 200 |  259.433961ms |             ::1 | GET      "/stock/price?ticker=T"
[GIN] 2021/03/15 - 11:29:26 | 200 |  285.777547ms |             ::1 | GET      "/stock/price?ticker=VZ"
[GIN] 2021/03/15 - 11:29:26 | 200 |  1.210250598s |             ::1 | GET      "/stock/price?ticker=XOM"
[GIN] 2021/03/15 - 11:29:26 | 200 |  260.674326ms |             ::1 | GET      "/stock/price?ticker=KO"
[GIN] 2021/03/15 - 11:29:26 | 200 |  1.227404557s |             ::1 | GET      "/stock/price?ticker=CVX"
[GIN] 2021/03/15 - 11:29:27 | 200 |  308.888803ms |             ::1 | GET      "/stock/price?ticker=PEP"
[GIN] 2021/03/15 - 11:29:27 | 200 |  290.259972ms |             ::1 | GET      "/stock/price?ticker=NOC"
[GIN] 2021/03/15 - 11:29:27 | 200 |  285.852613ms |             ::1 | GET      "/stock/price?ticker=WMT"
[GIN] 2021/03/15 - 11:29:27 | 200 |  287.960149ms |             ::1 | GET      "/stock/price?ticker=BBY"
[GIN] 2021/03/15 - 11:29:27 | 200 |  1.206073544s |             ::1 | GET      "/stock/price?ticker=PFE"
[GIN] 2021/03/15 - 11:29:27 | 200 |  514.973133ms |             ::1 | GET      "/stock/price?ticker=LMT"
[GIN] 2021/03/15 - 11:29:43 | 200 |  293.574788ms |             ::1 | GET      "/stock/price?ticker=MSFT"
[GIN] 2021/03/15 - 11:29:43 | 200 |  299.229206ms |             ::1 | GET      "/stock/price?ticker=FB"
[GIN] 2021/03/15 - 11:29:43 | 200 |  311.612264ms |             ::1 | GET      "/stock/price?ticker=ADBE"
[GIN] 2021/03/15 - 11:29:43 | 200 |  313.497116ms |             ::1 | GET      "/stock/price?ticker=AMZN"
